Price,Size,Bath,Bed,City_Cascais,City_Lisboa,City_Other,City_Porto,City_Sintra,predicted_rent
82500,53,1,3,0,0,1,0,0,658.4444001957304
349000,196,3,3,0,0,1,0,0,2122.443934726488
390000,154,3,3,0,0,1,0,0,1774.201812023942
265000,132,2,3,0,0,0,1,0,1695.6601961437384
279000,176,0,3,0,0,1,0,0,1539.1373202076174
262500,237,2,3,0,0,1,0,0,2323.2355675572144
395000,180,3,3,0,0,1,0,0,1989.780268935042
390000,209,5,5,0,0,1,0,0,2656.701465005707
445000,632,6,7,0,0,1,0,0,6451.306420430878
176000,177,1,3,0,0,1,0,0,1686.5878100794373
78500,90,1,4,0,0,1,0,0,1039.30426749043
129500,90,1,4,0,0,1,0,0,1039.30426749043
52500,90,1,2,0,0,1,0,0,891.1539871864687
42500,80,1,1,0,0,1,0,0,734.1640559148343
15000,62,0,2,0,0,1,0,0,519.8335612915839
130000,270,0,3,0,0,1,0,0,2318.536356732363
750000,389,6,4,0,0,1,0,0,4214.251575767349
99500,72,1,2,0,0,1,0,0,741.9073631710919
89500,97,1,2,0,0,1,0,0,949.1943409702263
425000,212,3,5,0,0,1,0,0,2403.257880821895
399990,157,3,3,0,0,1,0,0,1799.0762493598381
950000,180,2,4,0,0,1,0,0,1924.6963983271683
205000,160,1,3,0,0,1,0,0,1545.6326651760255
278000,180,3,3,0,0,1,0,0,1989.780268935042
349900,273,3,3,0,0,1,0,0,2760.887826347822
159000,78,0,2,0,0,1,0,0,652.4972270830299
240000,360,4,4,0,0,1,0,0,3695.480660000645
219500,200,3,3,0,0,1,0,0,2155.6098511743494
389900,161,3,4,0,0,1,0,0,1906.3173059596804
128000,18,2,0,0,0,0,1,0,528.2061569237436
155000,95,1,2,0,0,1,0,0,932.6113827462956
235000,269,1,2,0,0,1,0,0,2375.3287482282713
249500,294,2,4,0,0,1,0,0,2869.925017091221
120000,1652,4,4,0,0,1,0,0,14408.07167265991
480000,211,0,4,0,0,1,0,0,1903.4142292783863
490000,220,2,4,0,0,1,0,0,2256.355562805783
365000,180,4,4,0,0,1,0,0,2203.014419846877
424500,225,3,3,0,0,1,0,0,2362.896828973484
320000,160,4,3,0,0,1,0,0,1963.1096974555885
299500,492,3,5,0,0,1,0,0,4724.872032172201
155000,258,1,2,0,0,1,0,0,2284.122477996652
465000,170,3,3,0,0,1,0,0,1906.8654778153882
1100000,250,5,6,0,0,1,0,0,3070.7272487482687
180000,204,2,3,0,0,1,0,0,2049.616756862357
289000,168,3,3,0,0,1,0,0,1890.2825195914575
600000,321,6,3,0,0,1,0,0,3576.3558560017227
420000,199,5,4,0,0,1,0,0,2499.711533734073
490000,283,4,3,0,0,1,0,0,2982.96162822733
69900,120,2,3,0,0,1,0,0,1353.132511457265
179000,195,0,3,0,0,1,0,0,1696.6754233349595
287000,155,3,4,0,0,1,0,0,1856.568431287888
620000,331,0,7,0,0,1,0,0,3120.617143170173
80000,107,1,3,0,0,1,0,0,1106.1842722418608
140000,84,1,2,0,0,1,0,0,841.4051125146765
75000,192,3,3,0,0,1,0,0,2089.2780182786264
235000,327,2,4,0,0,1,0,0,3143.5438277860785
90000,38,1,1,0,0,1,0,0,385.9219332122885
199000,393,2,3,0,0,1,0,0,3616.7063090238134
235750,200,6,4,0,0,1,0,0,2647.1620236058925
318000,139,3,3,0,0,1,0,0,1649.8296253444614
290000,168,0,4,0,0,1,0,0,1546.8806274638753
350000,180,4,5,0,0,1,0,0,2277.089559998857
275000,197,3,3,0,0,1,0,0,2130.7354138384535
150000,72,1,3,0,0,1,0,0,815.9825033230726
43000,147,0,0,0,0,1,0,0,1076.4590055046797
99000,106,1,1,0,0,1,0,0,949.742512825934
285000,96,2,3,0,0,1,0,0,1154.1370127700961
182500,208,2,4,0,0,0,1,0,2399.8877488050875
165000,120,0,3,0,0,1,0,0,1074.8144899375566
449000,176,2,3,0,0,1,0,0,1817.4553417273262
350000,404,4,4,0,0,1,0,0,4060.3057409271214
249900,210,2,4,0,0,1,0,0,2173.4407716861297
69500,174,1,4,0,0,1,0,0,1735.7885128955218
400000,498,5,3,0,0,1,0,0,4904.78864805974
310000,230,2,4,0,0,1,0,0,2339.270353925437
210000,251,3,5,0,0,1,0,0,2726.6255661885443
85000,68,2,2,0,0,1,0,0,847.9004574830848
2500000,312,4,4,0,0,0,1,0,3540.5195979691953
72000,144,1,2,0,0,1,0,0,1338.893859232599
95000,33,1,1,0,0,0,1,0,587.4944729953506
374900,168,4,3,0,0,1,0,0,2029.4415303513117
