Price,Prop_type,Size,Bath,Bed,City,Division
600000,1,321,6,3,Maia, Cidade da Maia  
420000,1,199,5,4,Maia, Moreira  
490000,1,283,4,3,Gondomar, Foz do Sousa e Covelo  
69900,1,120,2,3,Baião, Teixeira e Teixeiró  
179000,1,195,0,3,Valongo, Campo e Sobrado  
287000,1,155,3,4,Vila Nova de Gaia, Serzedo e Perosinho  
620000,1,331,0,7,Santo Tirso, Areias
80000,1,107,1,3,Santo Tirso, Santo Tirso
140000,1,84,1,2,Santo Tirso, Santo Tirso
75000,1,192,3,3,Penafiel, Cabeça Santa  
235000,1,327,2,4,Paços de Ferreira, Raimonda  
90000,1,38,1,1,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
199000,1,393,2,3,Amarante, Figueiró (Santiago e Santa Cristina)  
235750,1,200,6,4,Valongo, Ermesinde  
318000,1,139,3,3,Vila Nova de Gaia, Grijó e Sermonde  
290000,1,168,0,4,Valongo, Campo e Sobrado  
350000,1,180,4,5,Vila Nova de Gaia, Vilar de Andorinho  
275000,1,197,3,3,Amarante, Fregim  
150000,1,72,1,3,Felgueiras, Macieira da Lixa e Caramos  
43000,1,147,0,0,Felgueiras, Torrados e Sousa  
99000,1,106,1,1,Felgueiras, Friande  
285000,1,96,2,3,Matosinhos, São Mamede de Infesta e Senhora da Hora  
182500,1,208,2,4,Porto, Campanhã  
165000,1,120,0,3,Matosinhos, Custóias
449000,1,176,2,3,Gondomar, Rio Tinto  
350000,1,404,4,4,Maia, Nogueira e Silva Escura  
249900,1,210,2,4,Trofa, Bougado (São Martinho e Santiago)  
69500,1,174,1,4,Felgueiras, Macieira da Lixa e Caramos  
400000,1,498,5,3,Paredes, Recarei  
310000,1,230,2,4,Póvoa de Varzim, Estela  
210000,1,251,3,5,Maia, Moreira  
85000,1,68,2,2,Marco de Canaveses, Sobretâmega  
2500000,1,312,4,4,Porto, Aldoar
72000,1,144,1,2,Amarante, Vila Chã do Marão  
95000,1,33,1,1,Porto, Bonfim  
374900,1,168,4,3,Vila Nova de Gaia, São Felix da Marinha  
31500,1,72,0,2,Baião, Ancede e Ribadouro  
345000,1,168,0,3,Porto, Paranhos  
345000,1,192,3,4,Paredes, Vilela  
219000,1,201,2,3,Paredes, Duas Igrejas  
72000,1,110,2,3,Póvoa de Varzim, Balazar  
325000,1,200,4,5,Vila Nova de Gaia, Pedroso e Seixezelo  
559000,1,239,5,4,Matosinhos, Custóias
465000,1,381,5,4,Paredes, Aguiar de Sousa  
260000,1,144,2,3,Valongo, Ermesinde  
400000,1,201,2,3,Santo Tirso, Vila Nova do Campo  
565000,1,338,3,4,Vila do Conde, Guilhabreu  
750000,1,252,5,4,Maia, Vila Nova da Telha  
750000,1,325,5,4,Maia, Vila Nova da Telha  
750000,1,328,5,4,Maia, Vila Nova da Telha  
282000,1,296,2,3,Paredes, Duas Igrejas  
175000,1,125,2,3,Penafiel, Termas de São Vicente  
325000,1,208,4,3,Vila Nova de Gaia, Pedroso e Seixezelo  
640000,1,150,3,3,Porto, Ramalde  
120000,1,192,1,3,Gondomar, Gondomar (São Cosme)
169000,1,70,1,2,Vila Nova de Gaia, Canidelo  
350000,1,180,4,3,Valongo, Ermesinde  
260000,1,174,2,3,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
565000,1,360,5,4,Maia, Cidade da Maia  
265000,1,307,0,3,Felgueiras, Vila Fria e Vizela (São Jorge)  
235000,1,182,2,3,Lousada, Vilar do Torno e Alentém  
780000,1,198,3,3,Matosinhos, Perafita
315000,1,110,3,3,Porto, Cedofeita
225000,1,90,2,2,Matosinhos, Perafita
375000,1,216,0,4,Gondomar, Rio Tinto  
120000,1,1605,1,1,Lousada, Meinedo  
275000,1,103,2,3,Vila Nova de Gaia, Mafamude e Vilar do Paraíso  
165000,1,126,0,3,Felgueiras, Margaride (Santa Eulália)
315000,1,110,0,3,Porto, Cedofeita
590000,1,129,2,3,Vila Nova de Gaia, Gulpilhares e Valadares  
105000,1,275,2,6,Santo Tirso, Rebordões  
250000,1,110,2,3,Maia, Moreira  
490000,1,167,0,3,Gondomar, Fânzeres e São Pedro da Cova  
925000,1,311,6,4,Porto, Aldoar
460000,1,2400,5,4,Lousada, Silvares
550000,1,369,5,5,Maia, Águas Santas  
799000,1,312,0,5,Maia, Castêlo da Maia  
340000,1,136,0,3,Maia, Nogueira e Silva Escura  
928000,1,396,5,9,Vila Nova de Gaia, Gulpilhares e Valadares  
315000,1,45,1,2,Vila Nova de Gaia, Canidelo  
320000,1,50,1,1,Porto, Lordelo do Ouro e Massarelos  
210000,1,80,1,2,Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  
450000,1,212,4,4,Vila Nova de Gaia, Arcozelo  
297500,1,675,0,4,Santo Tirso, Areias
320000,1,136,2,4,Porto, Paranhos  
180000,1,146,3,4,Gondomar, Gondomar (São Cosme)
375000,1,180,0,4,Gondomar, Baguim do Monte  
110000,1,56,2,2,Valongo, Ermesinde  
750000,1,258,3,11,Porto, Ramalde  
225000,1,140,3,5,Penafiel, Penafiel  
535000,1,237,3,3,Maia, Castêlo da Maia  
180000,1,211,0,2,Baião, Baião (Santa Leocádia) e Mesquinhata  
165000,1,280,0,5,Lousada, Lustosa e Barrosas (Santo Estêvão)  
219800,1,100,2,4,Penafiel, Penafiel  
340000,1,215,5,4,Amarante, Freixo de Cima e de Baixo  
330000,1,215,5,4,Amarante, Freixo de Cima e de Baixo  
283100,1,352,3,5,Gondomar, Rio Tinto  
360000,1,140,0,3,Baião, Santa Marinha do Zêzere  
440000,1,220,4,3,Matosinhos, Perafita
250000,1,308,0,5,Felgueiras, Margaride (Santa Eulália)
850000,1,520,5,5,Amarante, Vila Meã  
255000,1,984,0,8,Santo Tirso, Santo Tirso
79900,1,438,0,2,Santo Tirso, Santo Tirso
1050000,1,380,5,5,Porto, Lordelo do Ouro e Massarelos  
137500,1,42,1,1,Porto, Bonfim  
261250,1,80,2,3,Matosinhos, Custóias
110000,1,103,0,3,Paços de Ferreira, Seroa  
249000,1,522,0,3,Gondomar, Gondomar (São Cosme)
95000,1,102,2,2,Gondomar, Rio Tinto  
720000,1,330,4,3,Valongo, Alfena  
430000,1,193,3,3,Gondomar, Rio Tinto  
85000,1,81,0,3,Gondomar, Gondomar (São Cosme)
160000,1,191,0,2,Felgueiras, Refontoura  
310000,1,331,3,4,Matosinhos, Custóias
190000,1,133,0,3,Marco de Canaveses, Sande e São Lourenço  
167500,1,100,2,3,Santo Tirso, Vila Nova do Campo  
398500,1,228,4,4,Vila do Conde, Vilar de Pinheiro  
266000,1,151,2,3,Maia, Milheirós  
69000,1,74,0,3,Paços de Ferreira, Ferreira  
349900,1,284,0,3,Maia, Nogueira e Silva Escura  
450000,1,2700,5,5,Paços de Ferreira, Meixomil  
308000,1,152,3,3,Santo Tirso, Lamelas e Guimarei  
169000,1,65,2,2,Vila Nova de Gaia, Madalena  
87500,1,93,0,4,Marco de Canaveses, Penhalonga e Paços de Gaiolo  
