Price,Address,Prop_type,Size,Bath,Bed
 335 000 € ," Porto -   Póvoa de Varzim, Estela  ",House,  185 m2 ,  4 ,  4 
 475 000 € ," Porto -   Maia, Castêlo da Maia  ",House,  450 m2 ,  6 ,  5 
 237 500 € ," Porto -   Paredes, Rebordosa  ",House,  1924 m2 ,  6 ,  3 
 190 000 € ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",House,  163 m2 ,  3 ,  3 
 230 000 € ," Porto -   Felgueiras, Revinhade  ",House,  325 m2 ,  3 ,  3 
 155 000 € ," Porto -   Felgueiras, Refontoura  ",House,  118 m2 ,  1 ,  2 
 140 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  68 m2 ,  1 ,  2 
 140 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  72 m2 ,  1 ,  2 
 250 000 € ," Porto -   Santo Tirso, Lamelas e Guimarei  ",House,  2990 m2 ,  2 ,  2 
 314 500 € ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",House,  240 m2 ,  6 ,  3 
 170 000 € ," Porto -   Marco de Canaveses, Livração  ",House,  110 m2 ,  2 ,  3 
 105 000 € ," Porto -   Marco de Canaveses, Vila Boa de Quires e Maureles  ",House,  204 m2 ,  2 ,  4 
 87 500 € ," Porto -   Marco de Canaveses, Vila Boa de Quires e Maureles  ",House,  86 m2 ,  1 ,  2 
 95 000 € ," Porto -   Marco de Canaveses, Vila Boa de Quires e Maureles  ",House,  70 m2 ,  1 ,  3 
 205 000 € ," Porto -   Marco de Canaveses, Vila Boa de Quires e Maureles  ",House,  500 m2 ,  4 ,  9 
 120 000 € ," Porto -   Lousada, Caíde de Rei  ",House,  121 m2 ,  1 ,  4 
 445 000 € ," Porto -   Vila Nova de Gaia, Mafamude e Vilar do Paraíso  ",House,  350 m2 ,  4 ,  4 
 350 000 € ," Porto -   Porto, Campanhã  ",House,  327 m2 ,  6 ,  14 
 165 000 € ," Porto -   Penafiel, Duas Igrejas  ",House,  150 m2 ,  0 ,  7 
 169 500 € ," Porto -   Valongo, Ermesinde  ",House,  76 m2 ,  2 ,  2 
 295 000 € ," Porto -   Vila do Conde, Vila Chã  ",House,  176 m2 ,  2 ,  3 
 280 000 € ," Porto -   Vila do Conde, Retorta e Tougues  ",House,  222 m2 ,  0 ,  3 
 290 000 € ," Porto -   Paredes, Paredes  ",House,  140 m2 ,  4 ,  3 
 130 000 € ," Porto -   Vila Nova de Gaia, Santa Marinha e São Pedro da Afurada  ",House,  40 m2 ,  0 ,  2 
 305 000 € ," Porto -   Gondomar, Gondomar (São Cosme), Valbom e Jovim  ",House,  212 m2 ,  3 ,  4 
 350 000 € ," Porto -   Penafiel, Penafiel  ",House,  120 m2 ,  3 ,  3 
 750 000 € ," Porto -   Maia, Folgosa  ",House,  199 m2 ,  3 ,  3 
 170 000 € ," Porto -   Paredes, Duas Igrejas  ",House,  108 m2 ,  0 ,  1 
 75 000 € ," Porto -   Gondomar, Rio Tinto  ",House,  53 m2 ,  1 ,  3 
 350 000 € ," Porto -   Paredes, Aguiar de Sousa  ",House,  229 m2 ,  3 ,  4 
 1 000 000 € ," Porto -   Porto, Aldoar, Foz do Douro e Nevogilde  ",House,  144 m2 ,  3 ,  4 
 205 000 € ," Porto -   Lousada, Figueiras e Covas  ",House,  137 m2 ,  2 ,  3 
