Price,Address,Prop_type,Size,Bath,Bed
 1 450 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  118 m2 ,  1 ,  -- 
 900 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Mafamude e Vilar do Paraíso  ",Condo/Apartment,  74 m2 ,  1 ,  2 
 590 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Grijó e Sermonde  ",Business Office,  72 m2 ,  1 ,  -- 
 65 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Garage,  15 m2 ,  0 ,  -- 
 180 €  /  Monthly  ," Porto -   Trofa, Bougado (São Martinho e Santiago)  ",Store,  60 m2 ,  0 ,  -- 
 1 050 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Condo/Apartment,  113 m2 ,  1 ,  2 
 2 000 €  /  Monthly  ," Porto -   Porto, Bonfim  ",House,  239 m2 ,  3 ,  3 
 770 €  /  Monthly  ," Porto -   Gondomar, Fânzeres e São Pedro da Cova  ",Condo/Apartment,  86 m2 ,  1 ,  2 
 960 €  /  Monthly  ," Porto -   Gondomar, Rio Tinto  ",Condo/Apartment,  107 m2 ,  2 ,  3 
 450 €  /  Monthly  ," Porto -   Trofa, Bougado (São Martinho e Santiago)  ",Business Office,  50 m2 ,  1 ,  -- 
 1 600 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  106 m2 ,  2 ,  2 
 2 200 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Condo/Apartment,  168 m2 ,  4 ,  4 
 1 100 €  /  Monthly  ," Porto -   Vila Nova de Gaia, Arcozelo  ",Others - Commercial,  77 m2 ,  2 ,  -- 
 1 300 €  /  Monthly  ," Porto -   Marco de Canaveses, Marco  ",Store,  150 m2 ,  1 ,  -- 
 3 500 €  /  Monthly  ," Porto -   Maia, Moreira  ",Warehouse,  618 m2 ,  2 ,  -- 
 500 €  /  Monthly  ," Porto -   Paredes, Rebordosa  ",Business Office,  247 m2 ,  1 ,  -- 
 1 400 €  /  Monthly  ," Porto -   Porto, Lordelo do Ouro e Massarelos  ",Store,  143 m2 ,  0 ,  -- 
 1 000 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Condo/Apartment,  72 m2 ,  0 ,  1 
 590 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  69 m2 ,  1 ,  -- 
 3 900 €  /  Monthly  ," Porto -   Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória  ",Store,  120 m2 ,  0 ,  0 
 375 €  /  Monthly  ," Porto -   Porto, Campanhã  ",Business Office,  29 m2 ,  2 ,  -- 
 1 000 €  /  Monthly  ," Porto -   Felgueiras, Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure  ",Store,  41 m2 ,  0 ,  -- 
 800 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Store,  110 m2 ,  1 ,  -- 
 800 €  /  Monthly  ," Porto -   Matosinhos, Matosinhos e Leça da Palmeira  ",Business Office,  95 m2 ,  0 ,  -- 
 325 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Business Office,  30 m2 ,  1 ,  -- 
 325 €  /  Monthly  ," Porto -   Porto, Ramalde  ",Business Office,  30 m2 ,  1 ,  -- 
